,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
1,Afghanistan,157.1874225,160.3728365,136.1170149,144.1103198,174.9420385,187.9756038,199.0261731,226.005343,249.2873858,277.9007376,274.8808678,266.4930423,269.7239487,274.3857617,278.9419595,281.9219134,286.232933,251.0266877,230.8574514,283.7757648,295.6622011,257.0561933,248.5188899,176.5076196,130.7510506,189.2623901,175.3004402,164.092893,154.366,140.1792204,175.7694953,172.681737,194.9583817,213.9856914,231.6418413,264.1256834,290.1992873,389.9854281,394.5365142,448.9527208,558.1997671,645.2835869,694.8858857,681.033974,651.1583264,610.8545166,583.8828672
2,Albania,1053.46376,1058.377755,1063.749953,1069.618496,1075.707279,1082.481328,1089.845572,1096.460184,1105.148405,903.2929548,798.8236226,809.9481876,817.8508177,811.0057767,784.3061126,783.4758066,788.2543128,761.9156701,769.5803604,903.7791601,654.227007,487.5914626,467.8446547,533.1573387,598.9154351,770.1861011,1034.736774,719.2449893,823.1530982,1034.052825,1117.110767,1257.647174,1396.545492,1787.672942,2316.854916,2615.008518,2912.610324,3530.969114,4305.766969,4065.370992,4056.060834,4404.637959,4219.046254,4376.970549,4529.017154,3877.487975,4054.154458
3,Algeria,354.3029974,358.5318904,466.6960383,583.9896389,816.1305119,930.9626499,1032.564613,1186.586818,1448.127021,1769.727412,2184.963308,2219.480489,2191.655233,2294.212306,2412.910247,2564.320256,2707.373498,2689.767345,2385.191561,2191.194697,2383.08511,1753.574839,1806.60696,1829.930771,1492.501712,1452.084684,1592.452811,1608.348646,1584.896912,1577.444004,1753.06224,1742.73444,1775.875268,2094.336177,2599.137044,3100.122005,3464.609285,3935.183362,4905.254873,3868.830343,4463.39568,5432.251428,5564.82806,5471.866638,5466.424648,4160.21869,3916.882764
4,Andorra,4097.742091,4426.170507,5336.382716,6760.548031,7996.458943,9070.650285,9050.205054,9807.150743,11552.47737,14956.12422,15660.09529,13125.06608,12160.71913,10150.89867,9779.648972,9837.275874,13110.9474,15963.13068,18099.66439,19191.44139,23886.07723,24714.1733,25999.0836,20900.05755,20542.22069,23359.37334,24064.44442,23223.54669,23908.13791,24371.61771,21936.51326,22228.64758,24742.61901,32775.17836,38505.15292,41280.99336,43746.53115,48580.31494,47787.42925,43336.76933,39733.98834,41101.32342,38391.39649,40621.91272,42293.26996,36039.90786,36987.18477
5,Angola,561.929093,578.6341492,578.3200877,689.3984163,753.0080973,539.9785535,503.9629583,534.4012611,578.6169529,622.7347894,801.0038803,723.1255093,697.6445419,703.3899683,718.7532052,860.1098485,783.5081692,878.948941,923.144197,1045.648856,1123.178423,1289.62497,1433.234195,1004.791138,1001.403278,465.5008947,594.3063094,677.7655069,555.8314764,515.8188686,742.4980989,703.5514531,869.8513347,978.5389229,1248.405425,1890.848823,2585.134421,3108.266911,4068.980942,3102.607603,3585.90504,4615.870002,5102.492422,5258.408672,5412.69142,4133.025039,3710.679823
6,Anguilla,609.4611901,711.4986824,833.217505,934.8708054,1023.300485,1111.999849,1059.882583,1179.8198,1356.864659,1564.751825,1808.792748,2103.528722,2450.283394,2848.930417,3300.670024,4071.817772,5100.295709,6078.495483,7227.738711,8553.158318,9071.485481,8968.392684,9403.230821,9939.680984,10775.91045,10583.19465,10890.96401,11906.52295,13143.48739,13647.83313,13546.45519,13623.12891,13465.99761,14123.43216,16303.92041,18129.01171,22030.82601,27017.34388,26521.39948,20825.95149,19458.98351,20960.20586,19825.30547,19721.07938,21532.82841,22596.89268,22861.04511
7,Antigua and Barbuda,504.721795,603.5674459,815.3910171,1118.3788,1178.496854,1192.819213,982.235277,1109.072178,1247.934892,1532.510717,1830.691158,2081.661484,2326.16329,2613.95374,2996.457533,3507.76504,4220.961517,4969.782033,5944.670703,6585.84041,6889.004723,7156.853552,7296.551712,7652.10282,8218.597722,7841.463848,8379.576969,8755.156652,9115.234349,9363.186445,9377.835914,9097.036893,9302.965595,9622.72228,10178.85897,11371.95927,12724.39869,14252.29412,14703.31682,13012.45465,12126.86049,11929.36269,12565.42819,12224.86491,12946.84814,13659.26134,14462.30707
8,Argentina,1417.613368,1668.534647,1529.606976,1644.684786,1857.589557,1984.914369,2061.219459,2294.085095,2341.291878,2672.513357,2911.603024,2964.784496,3001.833988,3197.809928,3325.102144,3143.591195,3718.246606,3764.20729,4324.889361,2573.939642,4680.322174,6193.590082,7366.759988,7521.729037,8081.082906,7992.653579,8329.571356,8861.217104,8943.733008,8388.168294,8315.418811,7774.832828,2918.591423,3666.051065,4284.878335,5125.040361,5925.121614,7249.274928,9054.550404,8244.222511,10345.63806,12726.78581,13811.78016,14417.42145,13192.88409,14602.75384,12449.21685
9,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651.6359983,600.2599483,364.071166,347.9503776,383.342784,426.4691267,537.5385209,557.7615785,649.1019628,637.1146015,664.1069756,740.5321834,835.2832384,991.9625029,1271.13292,1752.941241,2301.343491,3347.296067,4276.383556,3192.690905,3432.155353,3761.249504,3684.805034,3843.590751,3994.712458,3617.935696,3614.688727
10,Aruba,2990.535919,3129.977204,3274.792864,3426.291254,3591.947578,3775.381423,3981.300218,4208.81907,4452.58225,4699.558786,4940.528737,5163.431027,5369.708599,5578.121493,5816.105179,6107.68294,6472.502027,7885.796549,9764.789977,11392.45581,12307.31173,13496.00339,14046.50399,14936.82704,17342.47194,16441.79064,16585.19553,17926.57283,19081.35165,19356.20339,20620.70063,20670.68884,20434.29682,20834.55049,22567.76834,23302.83199,24045.74942,25835.64314,27086.03985,24630.93927,23512.60259,24984.27944,24709.60227,25018.30895,25528.40378,25807.08858,25443.50524
