,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
1,Afghanistan,11126123 ,11417825 ,11721940 ,12027822 ,12321541 ,12590286 ,12840299 ,13067538 ,13237734 ,13306695 ,13248370 ,13053954 ,12749645 ,12389269 ,12047115 ,11783050 ,11601041 ,11502761 ,11540888 ,11777609 ,12249114 ,12993657 ,13981231 ,15095099 ,16172719 ,17099541 ,17822884 ,18381605 ,18863999 ,19403676 ,20093756 ,20966463 ,21979923 ,23064851 ,24118979 ,25070798 ,25893450 ,26616792 ,27294031 ,28004331 ,28803167 ,29708599 ,30696958 ,31731688 ,32758020 ,33736494 ,34656032 
2,Albania,2150598 ,2202035 ,2253844 ,2306003 ,2358463 ,2411229 ,2464336 ,2517872 ,2571850 ,2626286 ,2681239 ,2735329 ,2788314 ,2842624 ,2901592 ,2966798 ,3041007 ,3121336 ,3197067 ,3253656 ,3281454 ,3275431 ,3240587 ,3189583 ,3140595 ,3106736 ,3092228 ,3093041 ,3103759 ,3115576 ,3121970 ,3122408 ,3119029 ,3111005 ,3097747 ,3079179 ,3054331 ,3023907 ,2991651 ,2962635 ,2940525 ,2926659 ,2920039 ,2918978 ,2920775 ,2923352 ,2926348 
3,Algeria,14550034 ,14960109 ,15377093 ,15804428 ,16247113 ,16709099 ,17190239 ,17690184 ,18212326 ,18760761 ,19337715 ,19943664 ,20575701 ,21228289 ,21893853 ,22565905 ,23241272 ,23917897 ,24591492 ,25257672 ,25912367 ,26554329 ,27181094 ,27786259 ,28362253 ,28904298 ,29411415 ,29886839 ,30335732 ,30765613 ,31183660 ,31592153 ,31995046 ,32403514 ,32831096 ,33288437 ,33777915 ,34300076 ,34860715 ,35465760 ,36117637 ,36819558 ,37565847 ,38338562 ,39113313 ,39871528 ,40606052 
4,Andorra,24276 ,25559 ,26892 ,28232 ,29520 ,30705 ,31777 ,32771 ,33737 ,34818 ,36067 ,37500 ,39114 ,40867 ,42706 ,44600 ,46517 ,48455 ,50434 ,52448 ,54509 ,56671 ,58888 ,60971 ,62677 ,63850 ,64360 ,64327 ,64142 ,64370 ,65390 ,67341 ,70049 ,73182 ,76244 ,78867 ,80991 ,82683 ,83861 ,84462 ,84449 ,83751 ,82431 ,80788 ,79223 ,78014 ,77281 
5,Angola,6776381 ,6927269 ,7094834 ,7277960 ,7474338 ,7682479 ,7900997 ,8130988 ,8376147 ,8641521 ,8929900 ,9244507 ,9582156 ,9931562 ,10277321 ,10609042 ,10921037 ,11218268 ,11513968 ,11827237 ,12171441 ,12553446 ,12968345 ,13403734 ,13841301 ,14268994 ,14682284 ,15088981 ,15504318 ,15949766 ,16440924 ,16983266 ,17572649 ,18203369 ,18865716 ,19552542 ,20262399 ,20997687 ,21759420 ,22549547 ,23369131 ,24218565 ,25096150 ,25998340 ,26920466 ,27859305 ,28813463 
6,Anguilla,6403 ,6451 ,6501 ,6556 ,6596 ,6629 ,6660 ,6687 ,6709 ,6713 ,6702 ,6650 ,6588 ,6539 ,6552 ,6662 ,6875 ,7195 ,7574 ,7965 ,8334 ,8666 ,8981 ,9266 ,9537 ,9802 ,10058 ,10303 ,10548 ,10793 ,11070 ,11372 ,11692 ,12021 ,12339 ,12638 ,12903 ,13150 ,13360 ,13565 ,13769 ,13951 ,14129 ,14299 ,14459 ,14611 ,14764 
7,Antigua and Barbuda,67098 ,68188 ,69176 ,70066 ,70878 ,71609 ,72285 ,72875 ,73324 ,73528 ,73442 ,73066 ,72448 ,71639 ,70725 ,69782 ,68809 ,67845 ,67058 ,66627 ,66696 ,67307 ,68427 ,69938 ,71719 ,73619 ,75628 ,77739 ,79851 ,81831 ,83584 ,85057 ,86266 ,87293 ,88257 ,89253 ,90301 ,91381 ,92478 ,93581 ,94661 ,95719 ,96777 ,97824 ,98875 ,99923 ,100963 
8,Argentina,23973058 ,24366439 ,24782949 ,25213388 ,25644506 ,26066975 ,26477152 ,26878565 ,27277741 ,27684534 ,28105888 ,28543364 ,28993987 ,29454738 ,29920904 ,30388783 ,30857244 ,31326473 ,31795517 ,32263561 ,32729739 ,33193918 ,33655151 ,34110917 ,34558115 ,34994814 ,35419682 ,35833969 ,36241590 ,36648068 ,37057452 ,37471509 ,37889370 ,38309379 ,38728696 ,39145488 ,39558890 ,39970224 ,40382389 ,40799407 ,41223889 ,41656879 ,42096739 ,42539925 ,42981515 ,43417765 ,43847430 
9,Armenia,2525065 ,2587706 ,2650484 ,2712781 ,2773747 ,2832757 ,2889579 ,2944379 ,2997411 ,3049105 ,3099751 ,3148092 ,3193686 ,3238594 ,3285595 ,3335935 ,3392256 ,3451942 ,3504651 ,3536469 ,3538165 ,3505251 ,3442810 ,3363098 ,3283660 ,3217342 ,3168215 ,3133086 ,3108684 ,3089017 ,3069588 ,3050655 ,3033897 ,3017806 ,3000612 ,2981259 ,2958500 ,2933056 ,2908220 ,2888584 ,2877311 ,2875581 ,2881922 ,2893509 ,2906220 ,2916950 ,2924816 
10,Aruba,59063 ,59440 ,59840 ,60243 ,60528 ,60657 ,60586 ,60366 ,60103 ,59980 ,60096 ,60567 ,61345 ,62201 ,62836 ,63026 ,62644 ,61833 ,61079 ,61032 ,62149 ,64622 ,68235 ,72504 ,76700 ,80324 ,83200 ,85451 ,87277 ,89005 ,90853 ,92898 ,94992 ,97017 ,98737 ,100031 ,100832 ,101220 ,101353 ,101453 ,101669 ,102053 ,102577 ,103187 ,103795 ,104341 ,104822 
