"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Albania",1,0,0,0,0,2992547,3005.012903
"2","Algeria",2,0,0,0,0,33777915,3464.610079
"3","Andorra",3,0,0,0,0,80991,43666.98514
"4","Argentina",9,0,0,0,0,39558890,5878.761027
"5","Armenia",5,0,0,0,0,2958500,2158.002909
"6","Australia",40,1,0,1,2,20697900,36118.28381
"7","Austria",85,9,7,7,23,8268641,40430.99361
"8","Azerbaijan",2,0,0,0,0,8484550,2473.085776
"9","Belarus",28,0,1,0,1,9604924,3848.215966
"10","Belgium",4,0,0,0,0,10547958,38852.36103
"11","Bermuda",1,0,0,0,0,64523,83912.6978
"12","Bosnia and Herzegovina",6,0,0,0,0,3779468,3404.321698
"13","Brazil",10,0,0,0,0,189012412,5860.145975
"14","Bulgaria",21,0,1,0,1,7601022,4513.13628
"15","Canada",196,7,10,7,24,32570505,40386.69948
"16","Chile",9,0,0,0,0,16319792,9484.681227
"17","China",76,2,4,5,11,1311020000,2099.229676
"18","Chinese Taipei",1,0,0,0,0,NA,NA
"19","Costa Rica",1,0,0,0,0,4308794,5245.187372
"20","Croatia",24,1,2,0,3,4440000,11363.41845
"21","Cyprus",1,0,0,0,0,1045509,27169.99256
"22","Czech Republic",85,1,2,1,4,10238905,15159.14115
"23","Denmark",5,0,0,0,0,5437272,52026.99311
"24","Estonia",26,3,0,0,3,1346810,12595.41065
"25","Ethiopia",1,0,0,0,0,78850689,193.7949056
"26","Finland",102,0,6,3,9,5266268,41120.67651
"27","France",89,3,2,4,9,63621376,36544.50853
"28","Georgia",3,0,0,0,0,4136000,1872.680416
"29","Germany",164,11,12,6,29,82376451,36447.87232
"30","Great Britain",40,0,1,0,1,60846820,44016.72641
"31","Greece",5,0,0,0,0,11020362,24801.15781
"32","Hong Kong",1,0,0,0,0,6857100,28224.21506
"33","Hungary",20,0,0,0,0,10071370,11398.76584
"34","Iceland",5,0,0,0,0,303782,56103.54115
"35","India",4,0,0,0,0,1161977719,792.0259698
"36","Iran",2,0,0,0,0,71227880,3631.243047
"37","Ireland",4,0,0,0,0,4273591,54326.09713
"38","Israel",5,0,0,0,0,7053700,21905.01769
"39","Italy",184,5,0,6,11,58143979,33410.7482
"40","Japan",112,1,0,0,1,127854000,35433.98896
"41","Kazakhstan",56,0,0,0,0,15308084,5291.57565
"42","Kenya",1,0,0,0,0,37052050,697.0066385
"43","Kyrgyzstan",1,0,0,0,0,5218400,543.1107024
"44","Latvia",58,0,0,1,1,2218357,9667.9757
"45","Lebanon",3,0,0,0,0,4057350,5372.065899
"46","Liechtenstein",6,0,0,0,0,35095,113983.1678
"47","Lithuania",7,0,0,0,0,3269909,9240.642548
"48","Luxembourg",1,0,0,0,0,472637,89739.7117
"49","Macedonia",3,0,0,0,0,2063145,3325.613242
"50","Madagascar",1,0,0,0,0,18880268,292.1507443
"51","Moldova",7,0,0,0,0,3585209,950.6482044
"52","Monaco",4,0,0,0,0,34408,135535.0024
"53","Mongolia",2,0,0,0,0,2558012,1334.651896
"54","Nepal",1,0,0,0,0,25940618,348.6314534
"55","Netherlands",35,3,2,4,9,16346101,44453.97119
"56","New Zealand",18,0,0,0,0,4184600,26670.86452
"57","North Korea",6,0,0,0,0,24061097,NA
"58","Norway",81,2,8,9,19,4660677,74114.69715
"59","Poland",48,0,1,1,2,38141267,9040.770206
"60","Portugal",1,0,0,0,0,10522288,19821.44463
"61","Romania",25,0,0,0,0,21193760,5828.745662
"62","Russia",178,8,6,8,22,143049528,6920.194398
"63","San Marino",1,0,0,0,0,29614,49604.9215
"64","Senegal",1,0,0,0,0,11556763,809.8038296
"65","Serbia and Montenegro",6,0,0,0,0,NA,NA
"66","Slovakia",62,0,1,0,1,5373054,13139.03218
"67","Slovenia",42,0,0,0,0,2006868,19726.1265
"68","South Africa",3,0,0,0,0,48233804.48,5631.703485
"69","South Korea",40,6,3,2,11,48438292,20888.38015
"70","Spain",16,0,0,0,0,44397319,28482.60948
"71","Sweden",112,7,2,5,14,9080505,46256.4716
"72","Switzerland",143,5,4,5,14,7483934,57348.92788
"73","Tajikistan",1,0,0,0,0,7000557,404.2872665
"74","Thailand",1,0,0,0,0,65824164,3368.952576
"75","Turkey",6,0,0,0,0,68763405,8034.869161
"76","Ukraine",53,0,0,2,2,46787750,2303.018831
"77","United States",211,9,9,7,25,298379912,46437.06712
"78","Uzbekistan",4,0,0,0,0,26488250,654.2838373
"79","Venezuela",1,0,0,0,0,27239168,6735.797588
"80","Virgin Islands",1,0,0,0,0,107700,41819.87001
