"","Country","POP","GDP"
"1","Albania",2876101,4146.89625
"2","Andorra",77281,NA
"3","Argentina",43847430,12449.21685
"4","Armenia",2924816,3606.152057
"5","Australia",24127159,49927.81951
"6","Austria",8747358,44176.51522
"7","Azerbaijan",9762274,3876.936433
"8","Belarus",9507120,4989.254611
"9","Belgium",11348159,41096.1573
"10","Bermuda",65331,NA
"11","Bolivia",10887882,3104.956089
"12","Bosnia and Herzegovina",3516816,4708.718261
"13","Brazil",207652865,8649.948492
"14","Bulgaria",7127822,7350.795801
"15","Canada",36286425,42157.92799
"16","Chile",17909754,13792.92605
"17","China",1378665000,8123.180873
"18","Chinese Taipei",NA,NA
"19","Colombia",48653419,5805.605335
"20","Croatia",4170600,12090.66656
"21","Cyprus",1170125,23324.20174
"22","Czech Republic",10561633,18266.54969
"23","Denmark",5731118,53417.66428
"24","Dominica",73543,7144.454673
"25","Ecuador",16385068,5968.984138
"26","Eritrea",NA,NA
"27","Estonia",1316481,17574.68736
"28","Finland",5495096,43090.24751
"29","France",66896109,36854.96828
"30","Georgia",3719300,3853.649904
"31","Germany",82667685,41936.05858
"32","Great Britain",65637239,39899.38839
"33","Greece",10746740,18103.96932
"34","Hong Kong",7346700,43681.14058
"35","Hungary",9817958,12664.84744
"36","Iceland",334252,59976.94257
"37","India",1324171354,1709.387921
"38","Iran",80277428,NA
"39","Ireland",4773095,61606.48294
"40","Israel",8547100,37292.61222
"41","Italy",60600590,30527.2682
"42","Japan",126994511,38894.46773
"43","Kazakhstan",17797032,7510.077209
"44","Kenya",48461567,1455.359765
"45","Kosovo",1816200,3661.429847
"46","Kyrgyzstan",6082700,1077.036174
"47","Latvia",1960424,14118.06391
"48","Lebanon",6006668,7914.004677
"49","Liechtenstein",37666,NA
"50","Lithuania",2872298,14879.6803
"51","Luxembourg",582972,102831.3215
"52","Macedonia",2081206,5237.14767
"53","Madagascar",24894551,401.3188701
"54","Malaysia",31187265,9502.568396
"55","Malta",436947,25058.17061
"56","Mexico",127540423,8201.306253
"57","Moldova",3552000,1900.201479
"58","Monaco",38499,NA
"59","Mongolia",3027398,3686.451698
"60","Montenegro",622781,6701.00008
"61","Morocco",35276786,2832.429777
"62","Netherlands",17018408,45294.78
"63","New Zealand",4692700,39426.6235
"64","North Korea",25368620,NA
"65","Norway",5232929,70812.47742
"66","Pakistan",193203476,1468.192946
"67","Peru",31773839,6045.650077
"68","Philippines",103320222,2951.071929
"69","Poland",37948016,12372.41706
"70","Portugal",10324611,19813.30825
"71","Puerto Rico",3411307,NA
"72","Romania",19705301,9474.130604
"73","Russia",144342396,8748.364504
"74","San Marino",33203,NA
"75","Serbia",7057412,5348.294064
"76","Singapore",5607283,52960.71419
"77","Slovakia",5428704,16495.98768
"78","Slovenia",2064845,21304.57016
"79","South Africa",55908865,5273.59388
"80","South Korea",51245707,27538.80613
"81","Spain",46443959,26528.49179
"82","Sweden",9903122,51599.86887
"83","Switzerland",8372098,78812.65069
"84","Thailand",68863514,5907.913432
"85","Timor-Leste",1268671,NA
"86","Togo",7606374,578.4616936
"87","Turkey",79512426,10787.60934
"88","Ukraine",45004645,2185.728031
"89","United States",323127513,57466.78711
"90","Uzbekistan",31848200,2110.647872
